City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bonthe,SL,7.5264,-12.505,88.38,52,84,12.35,broken clouds
79,Upernavik,GL,72.7868,-56.1549,-8.48,91,58,7.61,broken clouds
80,Saint-Pierre,RE,-21.3393,55.4781,82.29,64,20,10.36,few clouds
81,Beidao,CN,34.5686,105.8933,33.98,80,98,0.92,overcast clouds
82,Mar Del Plata,AR,-38.0023,-57.5575,86.02,35,0,16.11,clear sky
83,Cervo,ES,43.6702,-7.4101,65.19,65,100,18.52,overcast clouds
84,Lincoln,US,40.8,-96.667,22.28,77,1,1.99,clear sky
85,Padang,ID,-0.9492,100.3543,78.85,87,81,3.44,broken clouds
86,Kavieng,PG,-2.5744,150.7967,81.09,80,100,10.76,moderate rain
87,Gedo,ET,9.0167,37.45,60.8,54,99,3.56,overcast clouds
88,Mahebourg,MU,-20.4081,57.7,80.26,78,75,10.36,broken clouds
89,Kruisfontein,ZA,-34.0033,24.7314,75.88,75,62,14.58,broken clouds
90,Carutapera,BR,-1.195,-46.02,85.89,64,31,6.49,scattered clouds
91,Ponta Do Sol,PT,32.6667,-17.1,76.12,11,9,3.09,clear sky
92,Manali,IN,13.1667,80.2667,79.07,79,33,10.51,scattered clouds
93,Broome,US,42.2506,-75.833,22.84,79,75,3.0,light snow
94,Lokosovo,RU,61.1333,74.8167,19.27,94,100,9.48,light snow
95,Yellowknife,CA,62.456,-114.3525,-34.58,85,1,11.5,clear sky
96,Tasiilaq,GL,65.6145,-37.6368,19.56,64,100,6.69,overcast clouds
97,Bud,US,39.447,-86.1758,28.49,80,13,3.94,few clouds
98,Margate,GB,51.3813,1.3862,51.96,80,100,1.99,overcast clouds
99,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,66,75,12.66,broken clouds
100,Hithadhoo,MV,-0.6,73.0833,82.47,70,11,2.04,few clouds
101,Micheweni,TZ,-4.9667,39.8333,81.88,76,0,13.87,clear sky
102,Itoman,JP,26.1247,127.6694,60.82,77,70,3.44,broken clouds
103,Tabas,IR,33.5959,56.9244,53.2,62,83,6.24,broken clouds
104,Chifeng,CN,42.2683,118.9636,14.79,38,0,5.86,clear sky
105,Pemangkat,ID,1.1667,108.9667,77.77,84,87,1.83,moderate rain
106,Tiksi,RU,71.6872,128.8694,-21.23,99,100,4.97,overcast clouds
107,Luanda,AO,-8.8368,13.2343,82.4,74,40,10.36,scattered clouds
108,Victoria,HK,22.2855,114.1577,66.18,82,2,1.01,clear sky
109,Kouango,CF,4.9934,19.9619,93.61,24,92,3.71,overcast clouds
110,Maragogi,BR,-9.0122,-35.2225,84.27,61,60,11.3,broken clouds
111,Deputatskiy,RU,69.3,139.9,-23.66,99,100,3.44,light snow
112,Alyangula,AU,-13.8483,136.4192,76.87,100,100,2.3,overcast clouds
113,Bilma,NE,18.6853,12.9164,67.98,29,100,3.78,overcast clouds
114,Mount Gambier,AU,-37.8333,140.7667,57.11,62,90,11.5,overcast clouds
115,Fenoarivo,MG,-18.933,47.4354,71.67,83,75,6.91,light rain
116,Mahanoro,MG,-19.9,48.8,79.52,80,95,3.94,overcast clouds
117,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,68,40,8.05,scattered clouds
118,Bosaso,SO,11.2842,49.1816,77.58,71,3,5.75,clear sky
119,Mocuba,MZ,-16.8392,36.9856,75.09,93,100,4.14,moderate rain
120,Cabo San Lucas,MX,22.8909,-109.9124,70.52,86,40,1.01,scattered clouds
121,Barrow,US,71.2906,-156.7887,-29.18,99,20,10.36,few clouds
122,Kyrylivka,UA,46.3759,35.3675,43.9,92,100,20.8,overcast clouds
123,Walvis Bay,NA,-22.9575,14.5053,67.15,68,0,12.66,clear sky
124,Bathsheba,BB,13.2167,-59.5167,84.81,54,20,24.16,few clouds
125,Khatanga,RU,71.9667,102.5,-54.65,99,50,4.12,scattered clouds
126,Havre-Saint-Pierre,CA,50.2334,-63.5986,7.39,65,1,11.5,clear sky
127,Port Arthur,CN,38.8,121.2667,33.91,95,0,13.8,clear sky
128,Airai,TL,-8.9266,125.4092,61.61,96,95,0.89,overcast clouds
129,Eyemouth,GB,55.8713,-2.0901,39.24,65,100,15.75,light rain
130,Kavaratti,IN,10.5669,72.642,82.0,67,11,4.97,few clouds
131,Muros,ES,42.7762,-9.0603,60.85,93,100,19.22,overcast clouds
132,Sorland,NO,67.667,12.6934,39.06,75,90,24.16,overcast clouds
133,Khrebtovaya,RU,56.7032,104.2494,14.61,96,100,4.68,light snow
134,La Ronge,CA,55.1001,-105.2842,-25.35,68,20,3.44,few clouds
135,Kodiak,US,57.79,-152.4072,17.11,67,90,19.57,light snow
136,Teplodar,UA,46.5059,30.3252,40.64,75,100,7.94,overcast clouds
137,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,83,100,13.65,overcast clouds
138,Okhotsk,RU,59.3833,143.3,-3.42,98,100,9.57,overcast clouds
139,Bambous Virieux,MU,-20.3428,57.7575,80.22,78,75,10.36,broken clouds
140,Bageshwar,IN,29.85,79.7667,47.8,47,10,3.18,clear sky
141,Leningradskiy,RU,69.3833,178.4167,31.59,72,100,10.2,overcast clouds
142,Dno,RU,57.8277,29.9637,21.7,97,100,4.0,overcast clouds
143,Dingle,PH,10.9995,122.6711,75.18,82,100,11.05,overcast clouds
144,Qaanaaq,GL,77.484,-69.3632,-6.38,66,70,6.89,broken clouds
145,Kaitangata,NZ,-46.2817,169.8464,56.26,78,100,3.02,overcast clouds
146,Lompoc,US,34.6391,-120.4579,52.12,83,1,4.61,clear sky
147,Diego De Almagro,CL,-26.3667,-70.05,81.1,19,0,9.64,clear sky
148,Loukhi,RU,66.0764,33.0381,-11.49,100,100,2.53,overcast clouds
149,San Carlos Del Zulia,VE,9.0,-71.9135,84.76,60,96,4.32,overcast clouds
150,Shingu,JP,33.7333,135.9833,40.69,71,0,8.3,clear sky
151,Prado,BR,-17.3411,-39.2208,82.27,65,100,10.13,overcast clouds
152,Voyvozh,RU,62.892,54.9635,1.54,99,100,0.81,overcast clouds
153,Derzhavinsk,KZ,51.1,66.3167,33.12,98,100,16.78,light snow
154,Inhambane,MZ,-23.865,35.3833,84.18,74,40,9.22,scattered clouds
155,Wamba,NG,8.9333,8.6,91.51,14,94,5.08,overcast clouds
156,Makakilo City,US,21.3469,-158.0858,68.32,88,20,4.61,light rain
157,Turukhansk,RU,65.8167,87.9833,-13.83,92,95,12.93,overcast clouds
158,Severodvinsk,RU,64.5635,39.8302,5.11,99,97,3.85,overcast clouds
159,Katsuura,JP,35.1333,140.3,50.02,67,1,9.82,clear sky
160,Aneho,TG,6.2333,1.6,91.6,61,81,13.31,broken clouds
161,Kungurtug,RU,50.5994,97.5228,-5.37,93,84,1.92,broken clouds
