City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kabare,CD,2021-12-28 15:17:16,-2.4683,28.8242,68.11,90,97,2.1
68,Uniao,BR,2021-12-28 15:17:17,-4.5858,-42.8642,87.82,85,100,1.92
69,Karla,EE,2021-12-28 15:17:17,59.3723,24.9275,23.05,87,0,10.36
70,Pisco,PE,2021-12-28 15:14:31,-13.7,-76.2167,69.85,88,75,9.22
71,Cobija,BO,2021-12-28 15:17:18,-11.0267,-68.7692,86.18,74,90,0.0
72,Souillac,MU,2021-12-28 15:17:18,-20.5167,57.5167,79.36,83,40,11.5
73,Thompson,CA,2021-12-28 15:17:19,55.7435,-97.8558,-12.84,77,90,5.75
74,Fortuna,US,2021-12-28 15:12:41,40.5982,-124.1573,39.65,95,90,4.0
75,Nador,MA,2021-12-28 15:17:19,35.174,-2.9287,71.67,60,0,13.8
76,Margate,GB,2021-12-28 15:17:19,51.3813,1.3862,51.96,77,100,5.01
77,Punta Arenas,CL,2021-12-28 15:09:03,-53.15,-70.9167,55.51,50,40,14.97
78,Castro,BR,2021-12-28 15:17:20,-24.7911,-50.0119,81.7,48,8,7.56
79,Springfield,US,2021-12-28 15:15:27,37.2153,-93.2982,53.89,93,90,1.01
80,Marsh Harbour,BS,2021-12-28 15:17:20,26.5412,-77.0636,74.79,64,69,7.72
81,Tiarei,PF,2021-12-28 15:17:21,-17.5333,-149.3333,77.02,76,68,5.03
82,Acapulco,MX,2021-12-28 15:14:34,16.8634,-99.8901,76.82,78,40,5.75
83,Bethel,US,2021-12-28 15:16:40,41.3712,-73.414,43.16,88,20,1.01
84,Samagaltay,RU,2021-12-28 15:17:22,50.6022,95.0047,-11.2,87,26,1.14
85,Guerrero Negro,MX,2021-12-28 15:17:22,27.9769,-114.0611,57.16,63,84,15.37
86,Carnarvon,AU,2021-12-28 15:13:16,-24.8667,113.6333,80.67,69,100,18.41
87,Ostrovnoy,RU,2021-12-28 15:17:23,68.0531,39.5131,0.77,95,97,7.94
88,Saint-Augustin,CA,2021-12-28 15:17:23,51.226,-58.6502,25.99,82,18,10.74
89,Avarua,CK,2021-12-28 15:17:17,-21.2078,-159.775,75.25,73,100,5.75
90,Barrow,US,2021-12-28 15:13:13,71.2906,-156.7887,-20.18,76,1,8.05
91,Hermanus,ZA,2021-12-28 15:13:10,-34.4187,19.2345,72.9,64,89,8.9
92,Pimentel,PE,2021-12-28 15:17:24,-6.8367,-79.9342,77.29,57,0,19.57
93,Anadyr,RU,2021-12-28 15:18:25,64.75,177.4833,1.9,84,90,15.66
94,Vardo,NO,2021-12-28 15:18:25,70.3705,31.1107,13.98,79,0,13.8
95,Fershampenuaz,RU,2021-12-28 15:18:25,53.5202,59.8117,-9.38,99,5,6.2
96,Kodiak,US,2021-12-28 15:13:18,57.79,-152.4072,38.8,79,1,7.9
97,Acarau,BR,2021-12-28 15:18:26,-2.8856,-40.12,87.71,58,56,17.2
98,Geraldton,AU,2021-12-28 15:18:27,-28.7667,114.6,81.01,44,7,14.97
99,Pirapora,BR,2021-12-28 15:18:27,-17.345,-44.9419,76.35,85,87,9.04
100,Inirida,CO,2021-12-28 15:18:27,3.8653,-67.9239,87.06,58,100,2.75
101,Vao,NC,2021-12-28 15:18:28,-22.6667,167.4833,77.92,84,73,7.67
102,Alofi,NU,2021-12-28 15:18:28,-19.0595,-169.9187,69.69,94,99,1.14
103,Nyurba,RU,2021-12-28 15:18:28,63.2842,118.3319,-28.39,100,75,2.84
104,Kingaroy,AU,2021-12-28 15:18:29,-26.5333,151.8333,58.78,82,5,8.72
105,Qeshm,IR,2021-12-28 15:18:29,26.9581,56.2719,69.69,38,44,0.67
106,Vestmannaeyjar,IS,2021-12-28 15:18:29,63.4427,-20.2734,31.19,69,0,11.5
107,Ilulissat,GL,2021-12-28 15:18:30,69.2167,-51.1,-2.4,73,14,6.15
108,Puerto Escondido,MX,2021-12-28 15:18:30,15.85,-97.0667,74.23,88,1,9.22
109,Hithadhoo,MV,2021-12-28 15:13:09,-0.6,73.0833,82.22,74,67,11.34
110,Klaksvik,FO,2021-12-28 15:18:31,62.2266,-6.589,41.92,79,64,11.7
111,Atar,MR,2021-12-28 15:18:31,20.5169,-13.0499,87.89,11,0,11.52
112,Ola,RU,2021-12-28 15:18:31,59.5833,151.2833,-9.4,78,100,13.96
113,Taksimo,RU,2021-12-28 15:18:32,56.3444,114.8794,-9.49,88,100,4.45
114,Nuuk,GL,2021-12-28 15:18:33,64.1835,-51.7216,23.61,63,20,1.14
115,Harper,LR,2021-12-28 15:18:33,4.375,-7.7169,84.15,70,66,8.88
116,Khandyga,RU,2021-12-28 15:18:34,62.6667,135.6,-53.75,98,83,0.94
117,Adrar,MR,2021-12-28 15:18:34,20.5022,-10.0711,82.18,13,99,15.23
118,Pevek,RU,2021-12-28 15:18:35,69.7008,170.3133,-33.93,99,98,4.61
119,Ituporanga,BR,2021-12-28 15:18:35,-27.4144,-49.6025,90.01,32,46,2.82
120,Narsaq,GL,2021-12-28 15:18:35,60.9167,-46.05,16.02,55,2,6.67
121,Los Llanos De Aridane,ES,2021-12-28 15:17:48,28.6585,-17.9182,65.95,91,75,4.0
122,Portland,US,2021-12-28 15:15:28,45.5234,-122.6762,33.48,94,90,6.91
123,Tasiilaq,GL,2021-12-28 15:18:36,65.6145,-37.6368,6.96,75,4,4.12
124,Vredendal,ZA,2021-12-28 15:18:36,-31.6683,18.5012,73.81,57,34,15.19
125,Hofn,IS,2021-12-28 15:18:37,64.2539,-15.2082,32.38,73,100,14.41
126,Port Elizabeth,ZA,2021-12-28 15:15:32,-33.918,25.5701,71.1,73,20,25.32
127,Regidor,CO,2021-12-28 15:18:38,8.6657,-73.8215,84.54,61,100,2.95
128,Hasaki,JP,2021-12-28 15:14:26,35.7333,140.8333,32.4,39,3,3.06
129,Jalu,LY,2021-12-28 15:18:39,29.0331,21.5482,69.06,23,69,10.13
130,Russell,US,2021-12-28 15:18:39,32.3502,-85.1999,69.06,91,90,8.05
131,Salem,IN,2021-12-28 15:17:48,11.65,78.1667,72.03,68,42,5.08
132,Kurchum,KZ,2021-12-28 15:18:40,48.5722,83.6542,-1.77,92,41,4.14
133,Bluff,NZ,2021-12-28 15:14:31,-46.6,168.3333,50.81,74,100,9.6
134,Namibe,AO,2021-12-28 15:19:40,-15.1961,12.1522,74.98,57,72,10.63
135,Shubarkuduk,KZ,2021-12-28 15:19:41,49.1447,56.4872,0.23,91,26,5.37
136,Cidreira,BR,2021-12-28 15:13:11,-30.1811,-50.2056,76.14,66,2,10.89
137,Sestri Levante,IT,2021-12-28 15:19:41,44.2732,9.3968,57.56,88,100,4.47
138,Progreso,MX,2021-12-28 15:19:42,21.2833,-89.6667,81.1,71,1,15.28
139,Nuevo Progreso,MX,2021-12-28 15:19:42,23.1667,-97.95,74.53,79,39,3.0
140,Chama,CH,2021-12-28 15:15:29,47.1821,8.4636,53.76,70,90,4.0
141,Langsa,ID,2021-12-28 15:19:43,4.4683,97.9683,74.88,90,56,2.82
142,Georgetown,MY,2021-12-28 15:17:10,5.4112,100.3354,83.89,79,20,3.44
143,Talara,PE,2021-12-28 15:19:43,-4.5772,-81.2719,75.96,64,0,20.71
144,Siparia,TT,2021-12-28 15:19:43,10.1333,-61.5,85.86,76,83,4.0
145,Puerto Del Rosario,ES,2021-12-28 15:19:44,28.5004,-13.8627,69.55,73,75,9.22
146,Kaitangata,NZ,2021-12-28 15:19:44,-46.2817,169.8464,48.88,95,95,5.7
147,Mogadishu,SO,2021-12-28 15:19:45,2.0371,45.3438,79.14,74,100,22.82
148,Mehamn,NO,2021-12-28 15:19:45,71.0357,27.8492,12.11,76,67,6.69
149,Polunochnoye,RU,2021-12-28 15:19:45,60.8697,60.4153,-8.09,95,83,3.94
150,Ponta Delgada,PT,2021-12-28 15:19:46,37.7333,-25.6667,69.49,88,75,27.63
151,Santo Antonio Do Ica,BR,2021-12-28 15:19:46,-3.1022,-67.9397,81.1,90,100,1.97
152,Havoysund,NO,2021-12-28 15:19:47,70.9963,24.6622,22.08,84,50,10.25
153,Bambous Virieux,MU,2021-12-28 15:19:47,-20.3428,57.7575,79.21,83,40,11.5
154,Athabasca,CA,2021-12-28 15:19:48,54.7169,-113.2854,-38.38,100,80,1.25
155,Tura,IN,2021-12-28 15:19:48,25.5198,90.2201,58.28,68,91,4.12
156,Oriximina,BR,2021-12-28 15:19:49,-1.7656,-55.8661,83.89,74,99,4.85
157,Grindavik,IS,2021-12-28 15:19:49,63.8424,-22.4338,28.35,80,75,25.32
158,Torbay,CA,2021-12-28 15:14:24,47.6666,-52.7314,35.58,88,90,16.11
159,Chokurdakh,RU,2021-12-28 15:13:05,70.6333,147.9167,-45.22,100,67,3.04
160,Salta,AR,2021-12-28 15:19:50,-24.7859,-65.4117,79.09,61,40,1.99
161,Cherskiy,RU,2021-12-28 15:14:32,68.75,161.3,-44.32,98,99,2.62
162,Caravelas,BR,2021-12-28 15:19:51,-17.7125,-39.2481,74.84,94,100,8.46
163,Yellowknife,CA,2021-12-28 15:13:35,62.456,-114.3525,-32.71,78,86,4.0
164,Qaanaaq,GL,2021-12-28 15:19:51,77.484,-69.3632,-3.21,53,59,7.67
165,Yeppoon,AU,2021-12-28 15:19:52,-23.1333,150.7333,71.38,84,100,19.17
166,Saskylakh,RU,2021-12-28 15:19:52,71.9167,114.0833,-32.35,100,41,0.92
167,Lorengau,PG,2021-12-28 15:19:52,-2.0226,147.2712,81.72,78,39,6.02
168,Lebu,CL,2021-12-28 15:16:09,-37.6167,-73.65,65.55,72,99,11.41
169,Darhan,MN,2021-12-28 15:19:53,49.4867,105.9228,0.7,87,97,5.26
170,Honavar,IN,2021-12-28 15:19:54,14.2833,74.45,73.65,71,21,3.38
171,Provideniya,RU,2021-12-28 15:19:54,64.3833,-173.3,4.05,93,100,21.21
172,Tezu,IN,2021-12-28 15:19:55,27.9167,96.1667,59.38,49,94,4.29
173,Victoria,HK,2021-12-28 15:13:02,22.2855,114.1577,65.25,77,19,4.0
174,Kemlya,RU,2021-12-28 15:19:55,54.6963,45.2424,-1.91,100,41,4.0
